GP,Driver,Stint,Compound,StintLength,FreshTyre
Hungarian Grand Prix,LEC,3,HARD,31,0
Hungarian Grand Prix,MAG,1,MEDIUM,14,1
Hungarian Grand Prix,MAG,2,HARD,30,0
Hungarian Grand Prix,MAG,3,HARD,33,0
Hungarian Grand Prix,NOR,1,MEDIUM,17,1
Hungarian Grand Prix,NOR,2,HARD,27,1
Hungarian Grand Prix,NOR,3,MEDIUM,29,0
Hungarian Grand Prix,OCO,1,MEDIUM,5,0
Hungarian Grand Prix,PER,1,HARD,27,0
Hungarian Grand Prix,PER,2,MEDIUM,24,0
Hungarian Grand Prix,PER,3,MEDIUM,31,0
Hungarian Grand Prix,PIA,1,MEDIUM,20,0
Hungarian Grand Prix,PIA,2,HARD,24,1
Hungarian Grand Prix,PIA,3,MEDIUM,31,0
Hungarian Grand Prix,RIC,1,MEDIUM,21,0
Hungarian Grand Prix,RIC,2,HARD,14,0
Hungarian Grand Prix,RIC,3,MEDIUM,43,0
Hungarian Grand Prix,RUS,1,HARD,28,1
Hungarian Grand Prix,RUS,2,MEDIUM,18,1
Hungarian Grand Prix,RUS,3,MEDIUM,24,1
Hungarian Grand Prix,SAI,1,SOFT,15,1
Hungarian Grand Prix,SAI,2,HARD,29,1
Hungarian Grand Prix,SAI,3,HARD,29,0
Hungarian Grand Prix,SAR,1,MEDIUM,13,1
Hungarian Grand Prix,SAR,2,HARD,24,0
Hungarian Grand Prix,SAR,3,HARD,33,1
Hungarian Grand Prix,STR,1,SOFT,9,1
Hungarian Grand Prix,STR,2,HARD,30,0
Hungarian Grand Prix,STR,3,HARD,39,0
Hungarian Grand Prix,TSU,1,SOFT,9,1
Hungarian Grand Prix,TSU,2,HARD,38,0
Hungarian Grand Prix,TSU,3,MEDIUM,25,1
Hungarian Grand Prix,VER,1,MEDIUM,26,0
Hungarian Grand Prix,VER,2,HARD,28,1
Hungarian Grand Prix,VER,3,MEDIUM,22,0
Hungarian Grand Prix,ZHO,1,MEDIUM,13,0
Hungarian Grand Prix,ZHO,2,HARD,33,0
Hungarian Grand Prix,ZHO,3,HARD,36,0
Italian Grand Prix,ALB,1,MEDIUM,18,0
Italian Grand Prix,ALB,2,HARD,39,0
Italian Grand Prix,ALO,1,MEDIUM,21,1
Italian Grand Prix,ALO,2,HARD,33,0
Italian Grand Prix,BOT,1,HARD,28,0
Italian Grand Prix,BOT,2,MEDIUM,28,0
Italian Grand Prix,GAS,1,MEDIUM,10,1
Italian Grand Prix,GAS,2,HARD,24,0
Italian Grand Prix,GAS,3,MEDIUM,19,1
Italian Grand Prix,HAM,1,HARD,30,0
Italian Grand Prix,HAM,2,MEDIUM,24,1
Italian Grand Prix,HUL,1,MEDIUM,17,0
Italian Grand Prix,HUL,2,HARD,30,0
Italian Grand Prix,HUL,3,MEDIUM,14,0
Italian Grand Prix,LAW,1,MEDIUM,16,0
Italian Grand Prix,LAW,2,HARD,23,0
Italian Grand Prix,LAW,3,MEDIUM,20,0
Italian Grand Prix,LEC,1,MEDIUM,20,1
Italian Grand Prix,LEC,2,HARD,31,1
Italian Grand Prix,MAG,1,HARD,16,0
Italian Grand Prix,MAG,2,MEDIUM,21,1
Italian Grand Prix,MAG,3,MEDIUM,17,1
Italian Grand Prix,NOR,1,MEDIUM,22,1
Italian Grand Prix,NOR,2,HARD,33,0
Italian Grand Prix,OCO,1,MEDIUM,24,1
Italian Grand Prix,OCO,2,HARD,18,0
Italian Grand Prix,PER,1,MEDIUM,21,1
Italian Grand Prix,PER,2,HARD,30,1
Italian Grand Prix,PIA,1,MEDIUM,23,1
Italian Grand Prix,PIA,2,HARD,23,0
Italian Grand Prix,PIA,3,MEDIUM,12,0
Italian Grand Prix,RUS,1,MEDIUM,19,1
Italian Grand Prix,RUS,2,HARD,35,0
Italian Grand Prix,SAI,1,MEDIUM,19,1
Italian Grand Prix,SAI,2,HARD,32,1
Italian Grand Prix,SAR,1,MEDIUM,17,0
Italian Grand Prix,SAR,2,HARD,39,0
Italian Grand Prix,STR,1,MEDIUM,20,1
Italian Grand Prix,STR,2,HARD,34,0
Italian Grand Prix,VER,1,MEDIUM,20,1
Italian Grand Prix,VER,2,HARD,31,1
Italian Grand Prix,ZHO,1,MEDIUM,11,1
Italian Grand Prix,ZHO,2,HARD,25,0
Italian Grand Prix,ZHO,3,MEDIUM,17,1
Japanese Grand Prix,ALB,2,MEDIUM,12,1
Japanese Grand Prix,ALB,3,SOFT,13,1
Japanese Grand Prix,ALO,1,SOFT,14,0
Japanese Grand Prix,ALO,2,HARD,14,1
Japanese Grand Prix,ALO,3,HARD,28,1
Japanese Grand Prix,BOT,2,SOFT,5,1
Japanese Grand Prix,GAS,1,MEDIUM,18,1
Japanese Grand Prix,GAS,2,HARD,16,1
Japanese Grand Prix,GAS,3,HARD,19,1
Japanese Grand Prix,HAM,1,MEDIUM,16,1
Japanese Grand Prix,HAM,2,HARD,18,1
Japanese Grand Prix,HAM,3,HARD,19,1
Japanese Grand Prix,HUL,1,SOFT,8,1
Japanese Grand Prix,HUL,2,MEDIUM,13,1
Japanese Grand Prix,HUL,3,HARD,16,1
Japanese Grand Prix,HUL,4,MEDIUM,15,1
Japanese Grand Prix,LAW,1,SOFT,10,1
Japanese Grand Prix,LAW,2,MEDIUM,15,1
Japanese Grand Prix,LAW,3,HARD,27,1
Japanese Grand Prix,LEC,1,MEDIUM,17,1
Japanese Grand Prix,LEC,2,MEDIUM,17,1
Japanese Grand Prix,LEC,3,HARD,19,1
Japanese Grand Prix,MAG,1,MEDIUM,12,1
Japanese Grand Prix,MAG,2,HARD,19,1
Japanese Grand Prix,MAG,3,HARD,21,1
Japanese Grand Prix,NOR,1,MEDIUM,17,1
Japanese Grand Prix,NOR,2,HARD,19,1
Japanese Grand Prix,NOR,3,HARD,17,1
Japanese Grand Prix,OCO,2,HARD,27,1
Japanese Grand Prix,OCO,3,HARD,25,1
Japanese Grand Prix,PER,1,MEDIUM,1,1
Japanese Grand Prix,PER,2,HARD,10,1
Japanese Grand Prix,PER,5,SOFT,7,0
Japanese Grand Prix,PIA,1,MEDIUM,13,1
Japanese Grand Prix,PIA,2,HARD,22,1
Japanese Grand Prix,PIA,3,HARD,18,1
Japanese Grand Prix,RUS,1,MEDIUM,24,1
Japanese Grand Prix,RUS,2,HARD,29,1
Japanese Grand Prix,SAI,1,MEDIUM,18,1
Japanese Grand Prix,SAI,2,MEDIUM,20,1
Japanese Grand Prix,SAI,3,HARD,15,1
Japanese Grand Prix,SAR,2,MEDIUM,5,0
Japanese Grand Prix,SAR,3,MEDIUM,16,1
Japanese Grand Prix,SAR,4,HARD,1,1
Japanese Grand Prix,STR,1,SOFT,14,1
Japanese Grand Prix,STR,2,MEDIUM,6,1
Japanese Grand Prix,TSU,1,SOFT,12,0
Japanese Grand Prix,TSU,2,MEDIUM,21,1
Japanese Grand Prix,TSU,3,HARD,22,1
Japanese Grand Prix,VER,1,MEDIUM,16,1
Japanese Grand Prix,VER,2,MEDIUM,21,1
Japanese Grand Prix,VER,3,HARD,16,1
Japanese Grand Prix,ZHO,2,SOFT,9,1
Japanese Grand Prix,ZHO,3,SOFT,19,1
Japanese Grand Prix,ZHO,4,HARD,23,1
Las Vegas Grand Prix,ALB,1,MEDIUM,17,0
Las Vegas Grand Prix,ALB,2,HARD,27,1
Las Vegas Grand Prix,ALB,3,HARD,15,1
Las Vegas Grand Prix,ALO,1,MEDIUM,12,1
Las Vegas Grand Prix,ALO,2,HARD,25,0
Las Vegas Grand Prix,ALO,3,HARD,23,0
Las Vegas Grand Prix,BOT,1,HARD,29,1
Las Vegas Grand Prix,BOT,2,MEDIUM,28,1
Las Vegas Grand Prix,GAS,1,MEDIUM,17,1
Las Vegas Grand Prix,GAS,2,HARD,15,1
Las Vegas Grand Prix,GAS,3,HARD,26,1
Las Vegas Grand Prix,HAM,1,MEDIUM,15,1
Las Vegas Grand Prix,HAM,2,HARD,20,1
Las Vegas Grand Prix,HAM,3,HARD,23,1
Las Vegas Grand Prix,HUL,1,MEDIUM,13,1
Las Vegas Grand Prix,HUL,2,HARD,20,1
Las Vegas Grand Prix,HUL,3,HARD,25,1
Las Vegas Grand Prix,LEC,1,MEDIUM,17,1
Las Vegas Grand Prix,LEC,2,HARD,18,1
Las Vegas Grand Prix,LEC,3,HARD,23,1
Las Vegas Grand Prix,MAG,1,MEDIUM,5,1
Las Vegas Grand Prix,MAG,2,HARD,17,1
Las Vegas Grand Prix,MAG,3,HARD,35,1
Las Vegas Grand Prix,NOR,1,MEDIUM,14,1
Las Vegas Grand Prix,NOR,2,HARD,19,1
Las Vegas Grand Prix,NOR,3,HARD,25,1
Las Vegas Grand Prix,OCO,1,MEDIUM,15,1
Las Vegas Grand Prix,OCO,2,HARD,43,1
Las Vegas Grand Prix,PER,1,MEDIUM,17,1
Las Vegas Grand Prix,PER,2,HARD,25,1
Las Vegas Grand Prix,PER,3,HARD,16,1
Las Vegas Grand Prix,PIA,1,MEDIUM,13,1
Las Vegas Grand Prix,PIA,2,HARD,23,1
Las Vegas Grand Prix,PIA,3,HARD,22,1
Las Vegas Grand Prix,RIC,1,MEDIUM,7,1
Las Vegas Grand Prix,RIC,2,HARD,24,1
Las Vegas Grand Prix,RIC,3,HARD,27,1
Las Vegas Grand Prix,RUS,1,MEDIUM,14,1
Las Vegas Grand Prix,RUS,2,HARD,20,1
Las Vegas Grand Prix,RUS,3,HARD,24,1
Las Vegas Grand Prix,SAI,1,HARD,23,1
Las Vegas Grand Prix,SAI,2,HARD,33,1
Las Vegas Grand Prix,SAI,3,SOFT,1,1
Las Vegas Grand Prix,SAR,1,MEDIUM,16,0
Las Vegas Grand Prix,SAR,2,HARD,26,1
Las Vegas Grand Prix,SAR,3,HARD,17,1
Las Vegas Grand Prix,STR,1,HARD,23,0
Las Vegas Grand Prix,STR,2,HARD,21,0
Las Vegas Grand Prix,STR,3,MEDIUM,16,1
Las Vegas Grand Prix,TSU,1,MEDIUM,22,1
Las Vegas Grand Prix,TSU,2,HARD,36,1
Las Vegas Grand Prix,VER,1,MEDIUM,16,1
Las Vegas Grand Prix,VER,2,HARD,27,1
Las Vegas Grand Prix,VER,3,HARD,15,1
Las Vegas Grand Prix,ZHO,1,MEDIUM,13,1
Las Vegas Grand Prix,ZHO,2,HARD,24,1
Las Vegas Grand Prix,ZHO,3,MEDIUM,21,1
Mexico City Grand Prix,ALO,1,SOFT,4,0
Mexico City Grand Prix,ALO,3,SOFT,26,0
Mexico City Grand Prix,ALO,4,MEDIUM,22,1
Mexico City Grand Prix,ALO,5,SOFT,24,1
Mexico City Grand Prix,BOT,3,SOFT,16,1
Mexico City Grand Prix,BOT,4,MEDIUM,21,1
Mexico City Grand Prix,GAS,3,SOFT,27,0
Mexico City Grand Prix,GAS,4,MEDIUM,20,1
Mexico City Grand Prix,GAS,5,SOFT,25,1
Mexico City Grand Prix,HAM,1,SOFT,4,0
Mexico City Grand Prix,HAM,3,SOFT,19,0
Mexico City Grand Prix,HAM,4,MEDIUM,28,1
Mexico City Grand Prix,HAM,5,SOFT,28,0
Mexico City Grand Prix,HUL,3,SOFT,22,0
Mexico City Grand Prix,HUL,4,SOFT,28,0
Mexico City Grand Prix,HUL,5,SOFT,27,0
Mexico City Grand Prix,NOR,1,SOFT,4,0
Mexico City Grand Prix,NOR,3,SOFT,25,1
Mexico City Grand Prix,NOR,4,MEDIUM,32,1
Mexico City Grand Prix,NOR,5,SOFT,15,0
Mexico City Grand Prix,OCO,1,SOFT,4,0
Mexico City Grand Prix,OCO,3,SOFT,15,0
Mexico City Grand Prix,OCO,4,MEDIUM,17,1
Mexico City Grand Prix,OCO,5,SOFT,23,0
Mexico City Grand Prix,OCO,6,SOFT,19,1
Mexico City Grand Prix,PER,1,SOFT,4,0
Mexico City Grand Prix,PER,3,SOFT,21,0
Mexico City Grand Prix,PER,4,MEDIUM,26,1
Mexico City Grand Prix,PER,5,SOFT,28,0
Mexico City Grand Prix,PIA,1,SOFT,3,0
Mexico City Grand Prix,PIA,3,MEDIUM,23,0
Mexico City Grand Prix,PIA,4,SOFT,31,0
Mexico City Grand Prix,PIA,5,SOFT,22,0
Mexico City Grand Prix,RIC,3,SOFT,28,0
Mexico City Grand Prix,RIC,4,MEDIUM,29,1
Mexico City Grand Prix,RIC,5,SOFT,15,1
Mexico City Grand Prix,RUS,1,SOFT,4,0
Mexico City Grand Prix,RUS,3,SOFT,20,0
Mexico City Grand Prix,RUS,4,MEDIUM,26,1
Mexico City Grand Prix,RUS,5,SOFT,15,0
Mexico City Grand Prix,SAI,1,SOFT,3,0
Mexico City Grand Prix,SAI,3,SOFT,28,0
Mexico City Grand Prix,SAI,4,MEDIUM,25,1
Mexico City Grand Prix,SAI,5,SOFT,23,0
Mexico City Grand Prix,SAR,3,SOFT,15,1
Mexico City Grand Prix,SAR,4,SOFT,27,1
Mexico City Grand Prix,SAR,5,SOFT,26,1
Mexico City Grand Prix,STR,1,SOFT,1,1
Mexico City Grand Prix,STR,3,SOFT,23,0
Mexico City Grand Prix,STR,4,MEDIUM,30,1
Mexico City Grand Prix,STR,5,SOFT,21,0
Mexico City Grand Prix,TSU,3,SOFT,24,1
Mexico City Grand Prix,TSU,4,MEDIUM,29,1
Mexico City Grand Prix,TSU,5,SOFT,19,0
Mexico City Grand Prix,VER,1,SOFT,4,0
Mexico City Grand Prix,VER,3,SOFT,28,0
Mexico City Grand Prix,VER,4,MEDIUM,29,1
Mexico City Grand Prix,VER,5,SOFT,15,1
Mexico City Grand Prix,ZHO,3,SOFT,13,1
Mexico City Grand Prix,ZHO,4,MEDIUM,7,1
Miami Grand Prix,ALB,1,MEDIUM,22,1
Miami Grand Prix,ALB,2,HARD,35,1
Miami Grand Prix,ALO,1,MEDIUM,25,0
Miami Grand Prix,ALO,2,HARD,34,0
Miami Grand Prix,BOT,1,MEDIUM,15,1
Miami Grand Prix,BOT,2,HARD,42,1
Miami Grand Prix,DEV,1,MEDIUM,15,1
Miami Grand Prix,DEV,2,HARD,42,1
Miami Grand Prix,GAS,1,MEDIUM,15,1
Miami Grand Prix,GAS,2,HARD,42,1
Miami Grand Prix,HAM,1,HARD,37,0
Miami Grand Prix,HAM,2,MEDIUM,20,1
Miami Grand Prix,HUL,1,HARD,33,1
Miami Grand Prix,HUL,2,MEDIUM,24,1
Miami Grand Prix,LEC,1,MEDIUM,17,1
Miami Grand Prix,LEC,2,HARD,40,1
Miami Grand Prix,MAG,1,MEDIUM,14,1
Miami Grand Prix,MAG,2,HARD,43,1
Miami Grand Prix,NOR,1,SOFT,4,1
Miami Grand Prix,NOR,2,HARD,53,1
Miami Grand Prix,OCO,1,HARD,39,1
Miami Grand Prix,OCO,2,MEDIUM,18,1
Miami Grand Prix,PER,1,MEDIUM,20,1
Miami Grand Prix,PER,2,HARD,37,1
Miami Grand Prix,PIA,1,SOFT,5,1
Miami Grand Prix,PIA,2,HARD,51,1
Miami Grand Prix,RUS,1,MEDIUM,17,1
Miami Grand Prix,RUS,2,HARD,40,1
Miami Grand Prix,SAI,1,MEDIUM,18,1
Miami Grand Prix,SAI,2,HARD,39,1
Miami Grand Prix,SAR,1,MEDIUM,2,1
Miami Grand Prix,SAR,2,HARD,54,1
Miami Grand Prix,STR,1,HARD,43,0
Miami Grand Prix,STR,2,MEDIUM,16,0
Miami Grand Prix,TSU,1,HARD,36,1
Miami Grand Prix,TSU,2,MEDIUM,21,1
Miami Grand Prix,VER,1,HARD,45,1
Miami Grand Prix,VER,2,MEDIUM,12,1
Miami Grand Prix,ZHO,1,HARD,31,1
Miami Grand Prix,ZHO,2,MEDIUM,26,1
Monaco Grand Prix,ALB,1,MEDIUM,18,1
Monaco Grand Prix,ALB,2,HARD,34,1
Monaco Grand Prix,ALB,3,INTERMEDIATE,25,1
Monaco Grand Prix,ALO,1,HARD,55,0
Monaco Grand Prix,ALO,2,MEDIUM,2,0
Monaco Grand Prix,ALO,3,INTERMEDIATE,23,1
Monaco Grand Prix,BOT,1,HARD,51,1
Monaco Grand Prix,BOT,2,INTERMEDIATE,26,1
Monaco Grand Prix,DEV,1,MEDIUM,53,1
Monaco Grand Prix,DEV,2,INTERMEDIATE,24,1
Monaco Grand Prix,GAS,1,HARD,47,1
Monaco Grand Prix,GAS,2,MEDIUM,7,1
Monaco Grand Prix,GAS,3,INTERMEDIATE,24,1
Monaco Grand Prix,HAM,1,MEDIUM,31,1
Monaco Grand Prix,HAM,2,HARD,23,1
Monaco Grand Prix,HAM,3,INTERMEDIATE,24,1
Monaco Grand Prix,HUL,1,MEDIUM,1,1
Monaco Grand Prix,HUL,2,HARD,52,1
Monaco Grand Prix,HUL,3,INTERMEDIATE,5,1
Monaco Grand Prix,HUL,4,WET,17,1
Monaco Grand Prix,LEC,1,HARD,44,1
Monaco Grand Prix,LEC,2,MEDIUM,11,1
Monaco Grand Prix,LEC,3,INTERMEDIATE,23,1
Monaco Grand Prix,MAG,1,HARD,55,1
Monaco Grand Prix,MAG,2,WET,14,1
Monaco Grand Prix,NOR,1,MEDIUM,50,1
Monaco Grand Prix,NOR,2,HARD,4,1
Monaco Grand Prix,NOR,3,INTERMEDIATE,23,1
Monaco Grand Prix,OCO,1,MEDIUM,32,1
Monaco Grand Prix,OCO,2,HARD,22,1
Monaco Grand Prix,OCO,3,INTERMEDIATE,24,1
Monaco Grand Prix,PER,1,MEDIUM,1,1
Monaco Grand Prix,PER,2,HARD,33,1
Monaco Grand Prix,PER,3,MEDIUM,20,0
Monaco Grand Prix,PER,4,INTERMEDIATE,4,1
Monaco Grand Prix,PER,5,WET,13,1
Monaco Grand Prix,PER,6,INTERMEDIATE,6,1
Monaco Grand Prix,PIA,1,HARD,54,1
Monaco Grand Prix,PIA,2,INTERMEDIATE,23,1
Monaco Grand Prix,RUS,1,HARD,54,1
Monaco Grand Prix,RUS,2,INTERMEDIATE,24,1
Monaco Grand Prix,SAI,1,HARD,33,1
Monaco Grand Prix,SAI,2,MEDIUM,21,1
Monaco Grand Prix,SAI,3,INTERMEDIATE,23,1
Monaco Grand Prix,SAR,1,MEDIUM,20,1
Monaco Grand Prix,SAR,2,HARD,3,1
Monaco Grand Prix,SAR,3,SOFT,29,1
Monaco Grand Prix,SAR,4,INTERMEDIATE,24,1
Monaco Grand Prix,STR,1,HARD,52,0
Monaco Grand Prix,STR,2,INTERMEDIATE,2,1
Monaco Grand Prix,TSU,1,MEDIUM,53,1
Monaco Grand Prix,TSU,2,INTERMEDIATE,23,1
Monaco Grand Prix,VER,1,MEDIUM,55,1
Monaco Grand Prix,VER,2,INTERMEDIATE,23,1
Monaco Grand Prix,ZHO,1,SOFT,1,1
Monaco Grand Prix,ZHO,2,HARD,51,1
Monaco Grand Prix,ZHO,3,INTERMEDIATE,25,1
Qatar Grand Prix,ALB,1,MEDIUM,18,1
Qatar Grand Prix,ALB,2,MEDIUM,13,1
Qatar Grand Prix,ALB,3,HARD,13,1
Qatar Grand Prix,ALB,4,HARD,13,1
Qatar Grand Prix,ALO,1,MEDIUM,16,0
Qatar Grand Prix,ALO,2,MEDIUM,20,0
Qatar Grand Prix,ALO,3,HARD,18,1
Qatar Grand Prix,ALO,4,MEDIUM,13,1
Qatar Grand Prix,BOT,1,SOFT,4,0
Qatar Grand Prix,BOT,2,MEDIUM,18,1
Qatar Grand Prix,BOT,3,HARD,18,1
Qatar Grand Prix,BOT,4,HARD,19,0
Qatar Grand Prix,GAS,1,MEDIUM,18,0
Qatar Grand Prix,GAS,2,MEDIUM,20,0
Qatar Grand Prix,GAS,3,HARD,18,1
Qatar Grand Prix,GAS,4,MEDIUM,13,1
Qatar Grand Prix,HUL,1,MEDIUM,20,0
Qatar Grand Prix,HUL,2,HARD,14,1
Qatar Grand Prix,HUL,3,MEDIUM,18,0
Qatar Grand Prix,HUL,4,HARD,17,1
Qatar Grand Prix,LAW,1,SOFT,1,1
Qatar Grand Prix,LAW,2,HARD,18,1
Qatar Grand Prix,LAW,3,HARD,18,1
Qatar Grand Prix,LAW,4,MEDIUM,17,1
Qatar Grand Prix,LEC,1,MEDIUM,20,0
Qatar Grand Prix,LEC,2,MEDIUM,20,0
Qatar Grand Prix,LEC,3,HARD,18,1
Qatar Grand Prix,LEC,4,MEDIUM,14,1
Qatar Grand Prix,MAG,1,SOFT,1,1
Qatar Grand Prix,MAG,2,MEDIUM,18,1
Qatar Grand Prix,MAG,3,HARD,18,1
Qatar Grand Prix,MAG,4,HARD,17,1
Qatar Grand Prix,NOR,1,MEDIUM,20,0
Qatar Grand Prix,NOR,2,MEDIUM,20,0
Qatar Grand Prix,NOR,3,MEDIUM,17,1
Qatar Grand Prix,NOR,4,HARD,13,1
Qatar Grand Prix,OCO,1,MEDIUM,17,0
Qatar Grand Prix,OCO,2,MEDIUM,20,0
Qatar Grand Prix,OCO,3,HARD,18,1
Qatar Grand Prix,OCO,4,MEDIUM,14,1
Qatar Grand Prix,PER,1,HARD,17,1
Qatar Grand Prix,PER,2,MEDIUM,20,0
Qatar Grand Prix,PER,3,MEDIUM,18,0
Qatar Grand Prix,PER,4,MEDIUM,14,1
Qatar Grand Prix,PIA,1,MEDIUM,18,0
Qatar Grand Prix,PIA,2,MEDIUM,20,0
Qatar Grand Prix,PIA,3,MEDIUM,18,1
Qatar Grand Prix,PIA,4,HARD,14,1
Qatar Grand Prix,RUS,1,MEDIUM,8,0
Qatar Grand Prix,RUS,2,MEDIUM,20,0
Qatar Grand Prix,RUS,3,MEDIUM,18,1
Qatar Grand Prix,RUS,4,HARD,18,1
Qatar Grand Prix,RUS,5,SOFT,10,0
Qatar Grand Prix,SAR,1,MEDIUM,13,1
Qatar Grand Prix,SAR,2,MEDIUM,13,1
Qatar Grand Prix,SAR,3,HARD,14,1
Qatar Grand Prix,STR,1,MEDIUM,9,0
Qatar Grand Prix,STR,2,MEDIUM,18,1
Qatar Grand Prix,STR,3,HARD,18,1
Qatar Grand Prix,STR,4,MEDIUM,18,1
Qatar Grand Prix,TSU,1,MEDIUM,9,1
Qatar Grand Prix,TSU,2,MEDIUM,13,1
Qatar Grand Prix,TSU,3,HARD,18,1
Qatar Grand Prix,TSU,4,HARD,16,1
Qatar Grand Prix,VER,1,MEDIUM,20,0
Qatar Grand Prix,VER,2,MEDIUM,20,0
Qatar Grand Prix,VER,3,HARD,17,1
Qatar Grand Prix,VER,4,MEDIUM,6,1
Qatar Grand Prix,ZHO,1,MEDIUM,18,1
Qatar Grand Prix,ZHO,2,HARD,17,1
Qatar Grand Prix,ZHO,3,HARD,17,1
Qatar Grand Prix,ZHO,4,SOFT,5,1
Saudi Arabian Grand Prix,ALB,1,MEDIUM,17,1
Saudi Arabian Grand Prix,ALB,2,HARD,9,1
Saudi Arabian Grand Prix,ALO,1,MEDIUM,18,1
Saudi Arabian Grand Prix,ALO,2,HARD,33,0
Saudi Arabian Grand Prix,BOT,1,MEDIUM,9,1
Saudi Arabian Grand Prix,BOT,2,HARD,8,1
Saudi Arabian Grand Prix,BOT,3,MEDIUM,18,1
Saudi Arabian Grand Prix,BOT,4,SOFT,14,1
Saudi Arabian Grand Prix,DEV,1,MEDIUM,17,1
Saudi Arabian Grand Prix,DEV,2,HARD,33,1
Saudi Arabian Grand Prix,GAS,1,MEDIUM,14,1
Saudi Arabian Grand Prix,GAS,2,HARD,36,1
Saudi Arabian Grand Prix,HAM,1,HARD,18,1
Saudi Arabian Grand Prix,HAM,2,MEDIUM,32,1
Saudi Arabian Grand Prix,HUL,1,MEDIUM,11,1
Saudi Arabian Grand Prix,HUL,2,HARD,39,1
Saudi Arabian Grand Prix,LEC,1,SOFT,16,1
Saudi Arabian Grand Prix,LEC,2,HARD,34,1
Saudi Arabian Grand Prix,MAG,1,MEDIUM,8,1
Saudi Arabian Grand Prix,MAG,2,HARD,42,1
Saudi Arabian Grand Prix,NOR,1,SOFT,2,1
Saudi Arabian Grand Prix,NOR,2,HARD,17,1
Saudi Arabian Grand Prix,NOR,3,MEDIUM,31,1
Saudi Arabian Grand Prix,OCO,1,MEDIUM,16,1
Saudi Arabian Grand Prix,OCO,2,HARD,34,1
Saudi Arabian Grand Prix,PER,1,MEDIUM,18,1
Saudi Arabian Grand Prix,PER,2,HARD,32,1
Saudi Arabian Grand Prix,PIA,1,MEDIUM,1,1
Saudi Arabian Grand Prix,PIA,2,HARD,49,1
Saudi Arabian Grand Prix,RUS,1,MEDIUM,18,1
Saudi Arabian Grand Prix,RUS,2,HARD,32,1
Saudi Arabian Grand Prix,SAI,1,MEDIUM,15,1
Saudi Arabian Grand Prix,SAI,2,HARD,35,1
Saudi Arabian Grand Prix,SAR,1,HARD,18,1
Saudi Arabian Grand Prix,SAR,2,MEDIUM,32,1
Saudi Arabian Grand Prix,STR,1,MEDIUM,13,1
Saudi Arabian Grand Prix,STR,2,HARD,4,0
Saudi Arabian Grand Prix,TSU,1,MEDIUM,17,1
Saudi Arabian Grand Prix,TSU,2,HARD,33,1
Saudi Arabian Grand Prix,VER,1,MEDIUM,18,1
Saudi Arabian Grand Prix,VER,2,HARD,32,1
Saudi Arabian Grand Prix,ZHO,1,MEDIUM,11,1
Saudi Arabian Grand Prix,ZHO,2,HARD,7,1
Saudi Arabian Grand Prix,ZHO,3,MEDIUM,32,1
Singapore Grand Prix,ALB,1,MEDIUM,20,1
Singapore Grand Prix,ALB,2,HARD,23,1
Singapore Grand Prix,ALB,3,MEDIUM,19,1
Singapore Grand Prix,ALO,1,MEDIUM,20,1
Singapore Grand Prix,ALO,2,HARD,23,1
Singapore Grand Prix,ALO,3,SOFT,20,0
Singapore Grand Prix,BOT,1,HARD,40,1
Singapore Grand Prix,BOT,2,MEDIUM,11,1
Singapore Grand Prix,GAS,1,MEDIUM,20,1
Singapore Grand Prix,GAS,2,HARD,42,1
Singapore Grand Prix,HAM,1,MEDIUM,20,1
Singapore Grand Prix,HAM,2,HARD,23,1
Singapore Grand Prix,HAM,3,MEDIUM,18,1
Singapore Grand Prix,HUL,1,MEDIUM,20,1
Singapore Grand Prix,HUL,2,HARD,42,1
Singapore Grand Prix,LAW,1,MEDIUM,20,1
Singapore Grand Prix,LAW,2,HARD,42,1
Singapore Grand Prix,LEC,1,SOFT,23,0
Singapore Grand Prix,LEC,2,HARD,42,1
Singapore Grand Prix,MAG,1,MEDIUM,20,1
Singapore Grand Prix,MAG,2,HARD,23,1
Singapore Grand Prix,MAG,3,SOFT,22,0
Singapore Grand Prix,NOR,1,MEDIUM,20,1
Singapore Grand Prix,NOR,2,HARD,42,1
Singapore Grand Prix,OCO,1,MEDIUM,20,1
Singapore Grand Prix,OCO,2,HARD,22,1
Singapore Grand Prix,PER,1,HARD,39,1
Singapore Grand Prix,PER,2,MEDIUM,23,1
Singapore Grand Prix,PIA,1,MEDIUM,20,1
Singapore Grand Prix,PIA,2,HARD,42,1
Singapore Grand Prix,RUS,1,MEDIUM,20,1
Singapore Grand Prix,RUS,2,HARD,23,1
Singapore Grand Prix,RUS,3,MEDIUM,17,1
Singapore Grand Prix,SAI,1,MEDIUM,20,1
Singapore Grand Prix,SAI,2,HARD,42,1
Singapore Grand Prix,SAR,1,MEDIUM,18,1
Singapore Grand Prix,SAR,2,HARD,24,1
Singapore Grand Prix,SAR,3,MEDIUM,19,1
Singapore Grand Prix,VER,1,HARD,40,1
Singapore Grand Prix,VER,2,MEDIUM,22,1
Singapore Grand Prix,ZHO,1,SOFT,2,1
Singapore Grand Prix,ZHO,2,HARD,18,1
Singapore Grand Prix,ZHO,3,MEDIUM,42,1
Spanish Grand Prix,ALB,1,SOFT,16,1
Spanish Grand Prix,ALB,2,HARD,21,1
Spanish Grand Prix,ALB,3,MEDIUM,28,1
Spanish Grand Prix,ALO,1,SOFT,22,0
Spanish Grand Prix,ALO,2,SOFT,28,0
